dist_img,ref_img,dmos,var,type,level
I01_02_01.png,I01.png,3.83,0.86,2,1
I01_02_02.png,I01.png,2.27,0.772,2,2
I01_02_03.png,I01.png,1.53,0.67,2,3
I01_02_04.png,I01.png,1.23,0.418,2,4
I01_02_05.png,I01.png,1.2,0.4,2,5
I02_02_01.png,I02.png,3.2,0.748,2,1
I02_02_02.png,I02.png,2.27,0.854,2,2
I02_02_03.png,I02.png,1.57,0.616,2,3
I02_02_04.png,I02.png,1.17,0.373,2,4
I02_02_05.png,I02.png,1.0,0.0,2,5
I03_02_01.png,I03.png,4.03,0.836,2,1
I03_02_02.png,I03.png,2.7,0.9,2,2
I03_02_03.png,I03.png,1.7,0.64,2,3
I03_02_04.png,I03.png,1.47,0.562,2,4
I03_02_05.png,I03.png,1.23,0.496,2,5
I04_02_01.png,I04.png,3.57,0.667,2,1
I04_02_02.png,I04.png,2.43,0.667,2,2
I04_02_03.png,I04.png,1.5,0.671,2,3
I04_02_04.png,I04.png,1.43,0.559,2,4
I04_02_05.png,I04.png,1.2,0.4,2,5
I05_02_01.png,I05.png,3.67,0.869,2,1
I05_02_02.png,I05.png,2.63,0.752,2,2
I05_02_03.png,I05.png,1.57,0.616,2,3
I05_02_04.png,I05.png,1.33,0.471,2,4
I05_02_05.png,I05.png,1.37,0.547,2,5
I06_02_01.png,I06.png,4.13,0.884,2,1
I06_02_02.png,I06.png,3.6,0.8,2,2
I06_02_03.png,I06.png,2.13,0.562,2,3
I06_02_04.png,I06.png,1.57,0.616,2,4
I06_02_05.png,I06.png,1.63,0.795,2,5
I07_02_01.png,I07.png,3.7,0.823,2,1
I07_02_02.png,I07.png,2.8,0.702,2,2
I07_02_03.png,I07.png,1.67,0.745,2,3
I07_02_04.png,I07.png,1.43,0.496,2,4
I07_02_05.png,I07.png,1.5,0.671,2,5
I08_02_01.png,I08.png,4.27,0.727,2,1
I08_02_02.png,I08.png,3.2,1.013,2,2
I08_02_03.png,I08.png,1.83,0.734,2,3
I08_02_04.png,I08.png,1.53,0.499,2,4
I08_02_05.png,I08.png,1.33,0.471,2,5
I09_02_01.png,I09.png,3.1,0.79,2,1
I09_02_02.png,I09.png,2.13,0.618,2,2
I09_02_03.png,I09.png,1.37,0.482,2,3
I09_02_04.png,I09.png,1.57,0.496,2,4
I09_02_05.png,I09.png,1.07,0.249,2,5
I10_02_01.png,I10.png,3.9,0.746,2,1
I10_02_02.png,I10.png,2.57,0.761,2,2
I10_02_03.png,I10.png,1.77,0.716,2,3
I10_02_04.png,I10.png,1.27,0.442,2,4
I10_02_05.png,I10.png,1.33,0.471,2,5
I11_02_01.png,I11.png,3.4,0.757,2,1
I11_02_02.png,I11.png,2.07,0.814,2,2
I11_02_03.png,I11.png,1.77,0.559,2,3
I11_02_04.png,I11.png,1.4,0.554,2,4
I11_02_05.png,I11.png,1.27,0.442,2,5
I12_02_01.png,I12.png,3.13,0.957,2,1
I12_02_02.png,I12.png,2.0,0.775,2,2
I12_02_03.png,I12.png,1.23,0.423,2,3
I12_02_04.png,I12.png,1.37,0.482,2,4
I12_02_05.png,I12.png,1.2,0.4,2,5
I13_02_01.png,I13.png,3.9,0.907,2,1
I13_02_02.png,I13.png,2.63,0.875,2,2
I13_02_03.png,I13.png,1.97,0.657,2,3
I13_02_04.png,I13.png,1.5,0.563,2,4
I13_02_05.png,I13.png,1.23,0.423,2,5
I14_02_01.png,I14.png,3.77,0.716,2,1
I14_02_02.png,I14.png,2.57,0.716,2,2
I14_02_03.png,I14.png,1.63,0.657,2,3
I14_02_04.png,I14.png,1.37,0.547,2,4
I14_02_05.png,I14.png,1.27,0.512,2,5
I15_02_01.png,I15.png,3.43,0.761,2,1
I15_02_02.png,I15.png,2.1,0.7,2,2
I15_02_03.png,I15.png,1.73,0.573,2,3
I15_02_04.png,I15.png,1.33,0.471,2,4
I15_02_05.png,I15.png,1.16,0.363,2,5
I16_02_01.png,I16.png,3.4,0.841,2,1
I16_02_02.png,I16.png,1.93,0.512,2,2
I16_02_03.png,I16.png,1.33,0.537,2,3
I16_02_04.png,I16.png,1.17,0.373,2,4
I16_02_05.png,I16.png,1.33,0.471,2,5
I17_02_01.png,I17.png,3.5,0.719,2,1
I17_02_02.png,I17.png,2.07,0.772,2,2
I17_02_03.png,I17.png,1.37,0.605,2,3
I17_02_04.png,I17.png,1.2,0.476,2,4
I17_02_05.png,I17.png,1.2,0.476,2,5
I18_02_01.png,I18.png,3.7,0.586,2,1
I18_02_02.png,I18.png,2.37,0.875,2,2
I18_02_03.png,I18.png,1.53,0.562,2,3
I18_02_04.png,I18.png,1.23,0.423,2,4
I18_02_05.png,I18.png,1.43,0.559,2,5
I19_02_01.png,I19.png,3.8,0.909,2,1
I19_02_02.png,I19.png,2.5,0.719,2,2
I19_02_03.png,I19.png,2.0,0.856,2,3
I19_02_04.png,I19.png,1.5,0.5,2,4
I19_02_05.png,I19.png,1.4,0.554,2,5
I20_02_01.png,I20.png,3.9,0.597,2,1
I20_02_02.png,I20.png,2.53,0.806,2,2
I20_02_03.png,I20.png,1.63,0.605,2,3
I20_02_04.png,I20.png,1.7,0.526,2,4
I20_02_05.png,I20.png,1.53,0.562,2,5
I21_02_01.png,I21.png,3.2,0.872,2,1
I21_02_02.png,I21.png,2.4,0.663,2,2
I21_02_03.png,I21.png,1.33,0.596,2,3
I21_02_04.png,I21.png,1.47,0.562,2,4
I21_02_05.png,I21.png,1.27,0.442,2,5
I22_02_01.png,I22.png,3.8,0.872,2,1
I22_02_02.png,I22.png,2.67,0.699,2,2
I22_02_03.png,I22.png,2.17,0.637,2,3
I22_02_04.png,I22.png,1.57,0.616,2,4
I22_02_05.png,I22.png,1.3,0.458,2,5
I23_02_01.png,I23.png,3.87,0.751,2,1
I23_02_02.png,I23.png,2.97,0.795,2,2
I23_02_03.png,I23.png,1.97,0.637,2,3
I23_02_04.png,I23.png,1.5,0.563,2,4
I23_02_05.png,I23.png,1.29,0.52,2,5
I24_02_01.png,I24.png,3.57,0.883,2,1
I24_02_02.png,I24.png,2.47,0.718,2,2
I24_02_03.png,I24.png,1.77,0.616,2,3
I24_02_04.png,I24.png,1.7,0.586,2,4
I24_02_05.png,I24.png,1.33,0.537,2,5
I25_02_01.png,I25.png,4.17,0.687,2,1
I25_02_02.png,I25.png,2.87,1.056,2,2
I25_02_03.png,I25.png,1.87,0.67,2,3
I25_02_04.png,I25.png,1.73,0.629,2,4
I25_02_05.png,I25.png,1.3,0.458,2,5
I26_02_01.png,I26.png,4.1,0.746,2,1
I26_02_02.png,I26.png,2.67,0.65,2,2
I26_02_03.png,I26.png,2.0,0.683,2,3
I26_02_04.png,I26.png,1.57,0.616,2,4
I26_02_05.png,I26.png,1.27,0.442,2,5
I27_02_01.png,I27.png,3.53,0.562,2,1
I27_02_02.png,I27.png,2.1,0.539,2,2
I27_02_03.png,I27.png,1.7,0.526,2,3
I27_02_04.png,I27.png,1.33,0.471,2,4
I27_02_05.png,I27.png,1.17,0.373,2,5
I28_02_01.png,I28.png,4.23,0.761,2,1
I28_02_02.png,I28.png,3.2,0.833,2,2
I28_02_03.png,I28.png,1.93,0.629,2,3
I28_02_04.png,I28.png,1.67,0.537,2,4
I28_02_05.png,I28.png,1.57,0.559,2,5
I29_02_01.png,I29.png,4.2,0.702,2,1
I29_02_02.png,I29.png,3.13,0.884,2,2
I29_02_03.png,I29.png,1.73,0.727,2,3
I29_02_04.png,I29.png,1.33,0.471,2,4
I29_02_05.png,I29.png,1.17,0.373,2,5
I30_02_01.png,I30.png,4.67,0.537,2,1
I30_02_02.png,I30.png,3.71,0.887,2,2
I30_02_03.png,I30.png,2.2,0.542,2,3
I30_02_04.png,I30.png,1.77,0.559,2,4
I30_02_05.png,I30.png,1.5,0.563,2,5
I31_02_01.png,I31.png,4.2,0.653,2,1
I31_02_02.png,I31.png,3.23,0.844,2,2
I31_02_03.png,I31.png,1.87,0.763,2,3
I31_02_04.png,I31.png,1.5,0.5,2,4
I31_02_05.png,I31.png,1.37,0.482,2,5
I32_02_01.png,I32.png,3.7,0.737,2,1
I32_02_02.png,I32.png,2.37,0.795,2,2
I32_02_03.png,I32.png,1.73,0.629,2,3
I32_02_04.png,I32.png,1.27,0.512,2,4
I32_02_05.png,I32.png,1.27,0.442,2,5
I33_02_01.png,I33.png,3.4,0.757,2,1
I33_02_02.png,I33.png,2.47,1.024,2,2
I33_02_03.png,I33.png,1.47,0.558,2,3
I33_02_04.png,I33.png,1.33,0.471,2,4
I33_02_05.png,I33.png,1.17,0.373,2,5
I34_02_01.png,I34.png,3.83,0.82,2,1
I34_02_02.png,I34.png,2.67,0.789,2,2
I34_02_03.png,I34.png,1.8,0.6,2,3
I34_02_04.png,I34.png,1.37,0.482,2,4
I34_02_05.png,I34.png,1.33,0.537,2,5
I35_02_01.png,I35.png,4.33,0.65,2,1
I35_02_02.png,I35.png,3.03,0.836,2,2
I35_02_03.png,I35.png,1.9,0.7,2,3
I35_02_04.png,I35.png,1.37,0.605,2,4
I35_02_05.png,I35.png,1.5,0.5,2,5
I36_02_01.png,I36.png,4.23,0.559,2,1
I36_02_02.png,I36.png,3.07,1.093,2,2
I36_02_03.png,I36.png,2.07,0.573,2,3
I36_02_04.png,I36.png,1.57,0.616,2,4
I36_02_05.png,I36.png,1.26,0.438,2,5
I37_02_01.png,I37.png,3.77,0.803,2,1
I37_02_02.png,I37.png,2.03,0.752,2,2
I37_02_03.png,I37.png,1.4,0.554,2,3
I37_02_04.png,I37.png,1.23,0.423,2,4
I37_02_05.png,I37.png,1.37,0.482,2,5
I38_02_01.png,I38.png,3.93,0.727,2,1
I38_02_02.png,I38.png,2.43,0.761,2,2
I38_02_03.png,I38.png,1.93,0.727,2,3
I38_02_04.png,I38.png,1.4,0.554,2,4
I38_02_05.png,I38.png,1.27,0.442,2,5
I39_02_01.png,I39.png,4.13,0.67,2,1
I39_02_02.png,I39.png,2.4,0.8,2,2
I39_02_03.png,I39.png,1.73,0.629,2,3
I39_02_04.png,I39.png,1.37,0.547,2,4
I39_02_05.png,I39.png,1.2,0.4,2,5
I40_02_01.png,I40.png,2.83,0.934,2,1
I40_02_02.png,I40.png,2.0,0.683,2,2
I40_02_03.png,I40.png,1.5,0.563,2,3
I40_02_04.png,I40.png,1.4,0.554,2,4
I40_02_05.png,I40.png,1.1,0.3,2,5
I41_02_01.png,I41.png,4.0,0.966,2,1
I41_02_02.png,I41.png,2.81,0.82,2,2
I41_02_03.png,I41.png,1.81,0.583,2,3
I41_02_04.png,I41.png,1.47,0.499,2,4
I41_02_05.png,I41.png,1.37,0.482,2,5
I42_02_01.png,I42.png,4.07,0.727,2,1
I42_02_02.png,I42.png,3.13,0.763,2,2
I42_02_03.png,I42.png,1.63,0.706,2,3
I42_02_04.png,I42.png,1.6,0.554,2,4
I42_02_05.png,I42.png,1.33,0.471,2,5
I43_02_01.png,I43.png,4.53,0.618,2,1
I43_02_02.png,I43.png,3.2,0.792,2,2
I43_02_03.png,I43.png,2.2,0.792,2,3
I43_02_04.png,I43.png,1.9,0.746,2,4
I43_02_05.png,I43.png,1.6,0.663,2,5
I44_02_01.png,I44.png,4.33,0.65,2,1
I44_02_02.png,I44.png,2.93,0.892,2,2
I44_02_03.png,I44.png,1.67,0.65,2,3
I44_02_04.png,I44.png,1.3,0.458,2,4
I44_02_05.png,I44.png,1.13,0.34,2,5
I45_02_01.png,I45.png,3.63,0.836,2,1
I45_02_02.png,I45.png,2.13,0.696,2,2
I45_02_03.png,I45.png,1.5,0.671,2,3
I45_02_04.png,I45.png,1.4,0.49,2,4
I45_02_05.png,I45.png,1.17,0.373,2,5
I46_02_01.png,I46.png,4.03,0.706,2,1
I46_02_02.png,I46.png,2.5,0.847,2,2
I46_02_03.png,I46.png,1.73,0.68,2,3
I46_02_04.png,I46.png,1.33,0.471,2,4
I46_02_05.png,I46.png,1.2,0.4,2,5
I47_02_01.png,I47.png,4.27,0.727,2,1
I47_02_02.png,I47.png,3.13,0.921,2,2
I47_02_03.png,I47.png,2.33,0.699,2,3
I47_02_04.png,I47.png,1.5,0.619,2,4
I47_02_05.png,I47.png,1.37,0.482,2,5
I48_02_01.png,I48.png,4.13,0.67,2,1
I48_02_02.png,I48.png,3.03,0.752,2,2
I48_02_03.png,I48.png,1.87,0.562,2,3
I48_02_04.png,I48.png,1.7,0.526,2,4
I48_02_05.png,I48.png,1.23,0.423,2,5
I49_02_01.png,I49.png,4.27,0.772,2,1
I49_02_02.png,I49.png,3.27,0.854,2,2
I49_02_03.png,I49.png,2.26,0.879,2,3
I49_02_04.png,I49.png,1.6,0.611,2,4
I49_02_05.png,I49.png,1.77,0.616,2,5
I50_02_01.png,I50.png,3.9,0.79,2,1
I50_02_02.png,I50.png,2.6,0.917,2,2
I50_02_03.png,I50.png,1.8,0.6,2,3
I50_02_04.png,I50.png,1.33,0.537,2,4
I50_02_05.png,I50.png,1.17,0.373,2,5
I51_02_01.png,I51.png,4.03,0.752,2,1
I51_02_02.png,I51.png,2.48,0.713,2,2
I51_02_03.png,I51.png,1.73,0.772,2,3
I51_02_04.png,I51.png,1.37,0.657,2,4
I51_02_05.png,I51.png,1.13,0.34,2,5
I52_02_01.png,I52.png,4.07,0.68,2,1
I52_02_02.png,I52.png,2.94,0.669,2,2
I52_02_03.png,I52.png,1.8,0.6,2,3
I52_02_04.png,I52.png,1.37,0.482,2,4
I52_02_05.png,I52.png,1.26,0.438,2,5
I53_02_01.png,I53.png,4.39,0.549,2,1
I53_02_02.png,I53.png,2.73,0.854,2,2
I53_02_03.png,I53.png,2.07,0.629,2,3
I53_02_04.png,I53.png,1.47,0.67,2,4
I53_02_05.png,I53.png,1.39,0.487,2,5
I54_02_01.png,I54.png,3.61,0.83,2,1
