dist_img,ref_img,dmos,var,type,level
I01_17_01.png,I01.png,4.5,0.5,17,1
I01_17_02.png,I01.png,4.57,0.496,17,2
I01_17_03.png,I01.png,4.33,0.596,17,3
I01_17_04.png,I01.png,3.4,0.879,17,4
I01_17_05.png,I01.png,2.13,0.846,17,5
I02_17_01.png,I02.png,4.5,0.5,17,1
I02_17_02.png,I02.png,4.63,0.547,17,2
I02_17_03.png,I02.png,4.33,0.596,17,3
I02_17_04.png,I02.png,3.63,0.795,17,4
I02_17_05.png,I02.png,1.9,0.79,17,5
I03_17_01.png,I03.png,4.5,0.5,17,1
I03_17_02.png,I03.png,4.63,0.547,17,2
I03_17_03.png,I03.png,4.4,0.49,17,3
I03_17_04.png,I03.png,3.67,0.745,17,4
I03_17_05.png,I03.png,2.77,1.086,17,5
I04_17_01.png,I04.png,4.53,0.718,17,1
I04_17_02.png,I04.png,4.6,0.49,17,2
I04_17_03.png,I04.png,3.97,0.605,17,3
I04_17_04.png,I04.png,3.4,0.879,17,4
I04_17_05.png,I04.png,1.97,0.836,17,5
I05_17_01.png,I05.png,4.5,0.619,17,1
I05_17_02.png,I05.png,4.47,0.618,17,2
I05_17_03.png,I05.png,3.53,0.884,17,3
I05_17_04.png,I05.png,2.7,1.005,17,4
I05_17_05.png,I05.png,1.3,0.458,17,5
I06_17_01.png,I06.png,4.53,0.806,17,1
I06_17_02.png,I06.png,4.47,0.499,17,2
I06_17_03.png,I06.png,3.97,0.657,17,3
I06_17_04.png,I06.png,3.43,0.844,17,4
I06_17_05.png,I06.png,2.77,1.055,17,5
I07_17_01.png,I07.png,4.7,0.458,17,1
I07_17_02.png,I07.png,4.63,0.482,17,2
I07_17_03.png,I07.png,4.1,0.79,17,3
I07_17_04.png,I07.png,3.43,0.883,17,4
I07_17_05.png,I07.png,2.6,1.052,17,5
I08_17_01.png,I08.png,4.63,0.482,17,1
I08_17_02.png,I08.png,4.67,0.471,17,2
I08_17_03.png,I08.png,4.47,0.67,17,3
I08_17_04.png,I08.png,3.7,0.64,17,4
I08_17_05.png,I08.png,2.47,1.024,17,5
