dist_img,ref_img,dmos,var,type,level
I01_05_01.png,I01.png,4.0,0.856,5,1
I01_05_02.png,I01.png,2.2,0.909,5,2
I01_05_03.png,I01.png,1.57,0.559,5,3
I01_05_04.png,I01.png,1.33,0.537,5,4
I01_05_05.png,I01.png,1.6,0.611,5,5
I02_05_01.png,I02.png,3.77,0.761,5,1
I02_05_02.png,I02.png,1.8,0.476,5,2
I02_05_03.png,I02.png,1.33,0.471,5,3
I02_05_04.png,I02.png,1.37,0.482,5,4
I02_05_05.png,I02.png,1.47,0.562,5,5
I03_05_01.png,I03.png,4.78,0.413,5,1
I03_05_02.png,I03.png,2.65,0.785,5,2
I03_05_03.png,I03.png,2.0,0.683,5,3
I03_05_04.png,I03.png,1.87,0.718,5,4
I03_05_05.png,I03.png,2.23,0.989,5,5
I04_05_01.png,I04.png,3.7,0.862,5,1
I04_05_02.png,I04.png,1.83,0.82,5,2
I04_05_03.png,I04.png,1.93,0.814,5,3
I04_05_04.png,I04.png,1.43,0.496,5,4
I04_05_05.png,I04.png,1.47,0.562,5,5
I05_05_01.png,I05.png,4.23,0.616,5,1
I05_05_02.png,I05.png,2.27,0.929,5,2
I05_05_03.png,I05.png,1.83,0.734,5,3
I05_05_04.png,I05.png,1.67,0.537,5,4
I05_05_05.png,I05.png,1.63,0.605,5,5
I06_05_01.png,I06.png,4.43,0.803,5,1
I06_05_02.png,I06.png,3.13,0.921,5,2
I06_05_03.png,I06.png,2.2,1.077,5,3
I06_05_04.png,I06.png,1.8,0.542,5,4
I06_05_05.png,I06.png,1.8,0.702,5,5
I07_05_01.png,I07.png,4.43,0.667,5,1
I07_05_02.png,I07.png,2.97,1.031,5,2
I07_05_03.png,I07.png,1.5,0.563,5,3
I07_05_04.png,I07.png,1.8,0.748,5,4
I07_05_05.png,I07.png,1.63,0.752,5,5
I08_05_01.png,I08.png,4.4,0.49,5,1
I08_05_02.png,I08.png,2.93,1.123,5,2
I08_05_03.png,I08.png,1.97,0.605,5,3
I08_05_04.png,I08.png,1.73,0.573,5,4
I08_05_05.png,I08.png,1.57,0.616,5,5
I09_05_01.png,I09.png,3.61,0.868,5,1
I09_05_02.png,I09.png,1.8,0.653,5,2
I09_05_03.png,I09.png,1.47,0.562,5,3
I09_05_04.png,I09.png,1.5,0.563,5,4
I09_05_05.png,I09.png,1.4,0.663,5,5
I10_05_01.png,I10.png,4.63,0.482,5,1
I10_05_02.png,I10.png,2.5,0.957,5,2
I10_05_03.png,I10.png,1.73,0.629,5,3
I10_05_04.png,I10.png,1.63,0.706,5,4
I10_05_05.png,I10.png,1.83,0.734,5,5
I11_05_01.png,I11.png,4.5,0.563,5,1
I11_05_02.png,I11.png,1.77,0.844,5,2
I11_05_03.png,I11.png,1.97,0.795,5,3
I11_05_04.png,I11.png,2.03,0.547,5,4
I11_05_05.png,I11.png,1.6,0.663,5,5
I12_05_01.png,I12.png,3.0,1.033,5,1
I12_05_02.png,I12.png,2.17,0.687,5,2
I12_05_03.png,I12.png,1.4,0.49,5,3
I12_05_04.png,I12.png,1.17,0.373,5,4
I12_05_05.png,I12.png,1.2,0.4,5,5
I13_05_01.png,I13.png,4.0,0.775,5,1
I13_05_02.png,I13.png,3.0,0.966,5,2
I13_05_03.png,I13.png,2.2,0.945,5,3
I13_05_04.png,I13.png,2.2,0.98,5,4
I13_05_05.png,I13.png,2.07,0.854,5,5
I14_05_01.png,I14.png,3.63,0.948,5,1
I14_05_02.png,I14.png,2.33,0.699,5,2
I14_05_03.png,I14.png,1.7,0.64,5,3
I14_05_04.png,I14.png,1.53,0.499,5,4
I14_05_05.png,I14.png,1.57,0.559,5,5
I15_05_01.png,I15.png,4.2,0.872,5,1
I15_05_02.png,I15.png,2.33,0.789,5,2
I15_05_03.png,I15.png,1.63,0.605,5,3
I15_05_04.png,I15.png,1.43,0.667,5,4
I15_05_05.png,I15.png,1.3,0.64,5,5
I16_05_01.png,I16.png,3.07,1.031,5,1
I16_05_02.png,I16.png,1.58,0.794,5,2
I16_05_03.png,I16.png,1.23,0.616,5,3
I16_05_04.png,I16.png,1.17,0.373,5,4
I16_05_05.png,I16.png,1.43,0.716,5,5
I17_05_01.png,I17.png,3.2,0.702,5,1
I17_05_02.png,I17.png,2.07,0.814,5,2
I17_05_03.png,I17.png,1.5,0.563,5,3
I17_05_04.png,I17.png,1.5,0.671,5,4
I17_05_05.png,I17.png,1.6,0.712,5,5
I18_05_01.png,I18.png,4.27,0.573,5,1
I18_05_02.png,I18.png,2.1,0.87,5,2
I18_05_03.png,I18.png,1.9,0.746,5,3
I18_05_04.png,I18.png,1.57,0.616,5,4
I18_05_05.png,I18.png,1.87,0.763,5,5
I19_05_01.png,I19.png,4.3,0.64,5,1
I19_05_02.png,I19.png,2.33,0.745,5,2
I19_05_03.png,I19.png,1.6,0.757,5,3
I19_05_04.png,I19.png,1.57,0.761,5,4
I19_05_05.png,I19.png,1.8,0.833,5,5
I20_05_01.png,I20.png,3.9,0.79,5,1
I20_05_02.png,I20.png,2.33,0.789,5,2
I20_05_03.png,I20.png,1.83,0.522,5,3
I20_05_04.png,I20.png,1.87,0.718,5,4
I20_05_05.png,I20.png,2.13,0.806,5,5
I21_05_01.png,I21.png,3.77,0.989,5,1
I21_05_02.png,I21.png,2.33,0.789,5,2
I21_05_03.png,I21.png,1.93,0.814,5,3
I21_05_04.png,I21.png,1.77,0.92,5,4
I21_05_05.png,I21.png,1.93,0.727,5,5
I22_05_01.png,I22.png,4.13,0.806,5,1
I22_05_02.png,I22.png,2.73,0.854,5,2
I22_05_03.png,I22.png,1.97,0.795,5,3
I22_05_04.png,I22.png,1.93,0.629,5,4
I22_05_05.png,I22.png,1.47,0.718,5,5
I23_05_01.png,I23.png,4.71,0.454,5,1
I23_05_02.png,I23.png,2.33,0.789,5,2
I23_05_03.png,I23.png,2.06,0.878,5,3
I23_05_04.png,I23.png,1.83,0.637,5,4
I23_05_05.png,I23.png,1.91,0.805,5,5
I24_05_01.png,I24.png,4.47,0.763,5,1
I24_05_02.png,I24.png,2.47,0.718,5,2
I24_05_03.png,I24.png,2.0,0.632,5,3
I24_05_04.png,I24.png,2.0,0.931,5,4
I24_05_05.png,I24.png,2.47,0.884,5,5
I25_05_01.png,I25.png,4.5,0.671,5,1
I25_05_02.png,I25.png,2.8,1.013,5,2
I25_05_03.png,I25.png,2.23,0.844,5,3
I25_05_04.png,I25.png,2.53,1.176,5,4
I25_05_05.png,I25.png,2.73,1.236,5,5
I26_05_01.png,I26.png,4.43,0.761,5,1
I26_05_02.png,I26.png,2.64,1.096,5,2
I26_05_03.png,I26.png,1.57,0.616,5,3
I26_05_04.png,I26.png,1.77,0.667,5,4
I26_05_05.png,I26.png,1.53,0.67,5,5
I27_05_01.png,I27.png,4.0,0.856,5,1
I27_05_02.png,I27.png,1.93,0.727,5,2
I27_05_03.png,I27.png,1.57,0.559,5,3
I27_05_04.png,I27.png,1.63,0.657,5,4
I27_05_05.png,I27.png,1.37,0.482,5,5
I28_05_01.png,I28.png,4.33,0.83,5,1
I28_05_02.png,I28.png,3.27,0.964,5,2
I28_05_03.png,I28.png,3.43,0.761,5,3
I28_05_04.png,I28.png,3.1,1.075,5,4
I28_05_05.png,I28.png,3.0,0.931,5,5
I29_05_01.png,I29.png,4.13,0.763,5,1
I29_05_02.png,I29.png,2.87,0.763,5,2
I29_05_03.png,I29.png,1.73,0.68,5,3
I29_05_04.png,I29.png,1.57,0.616,5,4
I29_05_05.png,I29.png,1.63,0.657,5,5
I30_05_01.png,I30.png,4.77,0.423,5,1
I30_05_02.png,I30.png,3.83,1.003,5,2
I30_05_03.png,I30.png,2.9,1.165,5,3
I30_05_04.png,I30.png,2.8,1.046,5,4
I30_05_05.png,I30.png,2.5,0.922,5,5
I31_05_01.png,I31.png,4.67,0.471,5,1
I31_05_02.png,I31.png,2.7,0.69,5,2
I31_05_03.png,I31.png,2.2,0.909,5,3
I31_05_04.png,I31.png,1.9,0.79,5,4
I31_05_05.png,I31.png,1.7,0.862,5,5
I32_05_01.png,I32.png,4.3,0.737,5,1
I32_05_02.png,I32.png,2.6,0.757,5,2
